"","tissue","ENSG00000104814"
"2229","Colon",12.2
"2230","Skin",0.4037
"2231","Esophagus",1.359
"2232","Thyroid",1.95
"2233","Pancreas",0.5577
"2234","Liver",0.8883
"2235","Stomach",3.622
"2236","Ovary",1.069
"2237","Colon",6.843
"2238","Small Intestine",10.51
"2239","Skin",0.2158
"2240","Thyroid",3.153
"2241","Breast",2.898
"2242","Liver",1.23
"2243","Pancreas",0.8719
"2244","Esophagus",1.572
"2245","Kidney",7.792
"2246","Small Intestine",145.4
"2247","Colon",0.7395
"2248","Lung",5.464
"2249","Prostate",5.813
"2250","Skin",0.1902
"2251","Brain",2.268
"2252","Thyroid",3.731
"2253","Breast",4.105
"2254","Lung",16.81
"2255","Esophagus",1.114
"2256","Liver",1.467
"2257","Prostate",4.212
"2258","Colon",9.364
"2259","Skin",0.1161
"2260","Breast",2.604
"2261","Prostate",2.687
"2262","Lung",10.14
"2263","Pancreas",0.8302
"2264","Esophagus",2.958
"2265","Thyroid",3.159
"2266","Colon",3.285
"2267","Stomach",1.92
"2268","Skin",0.1843
"2269","Thyroid",2.558
"2270","Lung",13.19
"2271","Esophagus",1.623
"2272","Prostate",3.624
"2273","Colon",1.036
"2274","Pancreas",0.3182
"2275","Skin",0.1881
"2276","Thyroid",4.379
"2277","Lung",7.689
"2278","Pancreas",0.8761
"2279","Stomach",4.814
"2280","Esophagus",1.424
"2281","Colon",3.231
"2282","Skin",0.2506
"2283","Pancreas",4.945
"2284","Esophagus",2.7
"2285","Lung",19.63
"2286","Colon",2.437
"2287","Skin",0.2635
"2288","Thyroid",1.058
"2289","Pancreas",0.6974
"2290","Prostate",3.942
"2291","Breast",2.105
"2292","Stomach",1.914
"2293","Colon",1.044
"2294","Esophagus",0.9742
"2295","Small Intestine",11.7
"2296","Skin",0.1226
"2297","Thyroid",3.352
"2298","Lung",11.17
"2299","Esophagus",1.416
"2300","Pancreas",1.035
"2301","Small Intestine",19.86
"2302","Stomach",4.776
"2303","Colon",11.21
"2304","Breast",1.225
"2305","Prostate",3.875
"2306","Skin",0.2303
"2307","Brain",0.939
"2308","Lung",9.618
"2309","Liver",1.658
"2310","Esophagus",1.678
"2311","Stomach",1.419
"2312","Thyroid",3.249
"2313","Colon",1.649
"2314","Breast",1.29
"2315","Skin",0.264
"2316","Brain",0.8746
"2317","Thyroid",2.482
"2318","Lung",9.771
"2319","Skin",0.1657
"2320","Brain",0.6602
"2321","Thyroid",5.167
"2322","Breast",2.601
"2323","Liver",2.339
"2324","Skin",0.1635
"2325","Lung",14.83
"2326","Breast",7.916
"2327","Thyroid",2.149
"2328","Liver",2.069
"2329","Pancreas",0.6877
"2330","Esophagus",2.407
"2331","Colon",1.579
"2332","Uterus",1.898
"2333","Skin",0.1738
"2334","Brain",1.091
"2335","Lung",9.995
"2336","Thyroid",3.181
"2337","Liver",2.253
"2338","Pancreas",0.4063
"2339","Esophagus",1.394
"2340","Ovary",2.068
"2341","Breast",3.373
"2342","Skin",0.4034
"2343","Lung",6.853
"2344","Thyroid",1.639
"2345","Breast",3.002
"2346","Prostate",3.738
"2347","Esophagus",7.029
"2348","Stomach",1.969
"2349","Colon",2.443
"2350","Uterus",2.774
"2351","Breast",4.476
"2352","Thyroid",1.09
"2353","Esophagus",0.7364
"2354","Pancreas",0.6593
"2355","Stomach",1.908
"2356","Skin",0.09765
"2357","Brain",1.196
"2358","Lung",5.574
"2359","Pancreas",0.1385
"2360","Liver",1.06
"2361","Esophagus",1.123
"2362","Colon",6.053
"2363","Skin",0.3391
"2364","Brain",1.22
"2365","Prostate",3.147
"2366","Breast",1.878
"2367","Thyroid",4.536
"2368","Lung",23.25
"2369","Liver",1.955
"2370","Kidney",1.536
"2371","Esophagus",2.789
"2372","Colon",7.693
"2373","Small Intestine",3.439
"2374","Skin",0.1495
"2375","Thyroid",3.161
"2376","Pancreas",0.4626
"2377","Esophagus",7.891
"2378","Colon",0.8655
"2379","Skin",0.1568
"2380","Thyroid",29.32
"2381","Ovary",1.368
"2382","Uterus",2.922
"2383","Esophagus",1.332
"2384","Stomach",3.37
"2385","Breast",4.494
"2386","Small Intestine",100.4
"2387","Colon",4.721
"2388","Skin",0.2717
"2389","Thyroid",3.647
"2390","Lung",17.88
"2391","Pancreas",0.6229
"2392","Esophagus",2.683
"2393","Colon",1.873
"2394","Skin",0.4103
"2395","Brain",1.311
"2396","Thyroid",5.799
"2397","Colon",1.757
"2398","Skin",0.2114
"2399","Breast",2.451
"2400","Lung",10.34
"2401","Pancreas",0.8683
"2402","Esophagus",1.949
"2403","Prostate",5.054
"2404","Stomach",1.839
"2405","Colon",2.01
"2406","Small Intestine",12.5
"2407","Skin",0.2758
"2408","Brain",0.4287
"2409","Breast",7.65
"2410","Thyroid",3.371
"2411","Liver",0.6891
"2412","Pancreas",0.5655
"2413","Esophagus",2.911
"2414","Kidney",0.8091
"2415","Prostate",2.709
"2416","Colon",1.579
"2417","Brain",0.936
"2418","Skin",2.149
"2419","Thyroid",3.814
"2420","Lung",10.17
"2421","Skin",0.3741
"2422","Brain",0.5215
"2423","Breast",2.4
"2424","Thyroid",10.86
"2425","Lung",5.573
"2426","Skin",0.1553
"2427","Brain",1.585
"2428","Lung",11.23
"2429","Esophagus",1.498
"2430","Prostate",9.155
"2431","Breast",2.599
"2432","Skin",0.4469
"2433","Brain",0.4283
"2434","Lung",6.972
"2435","Thyroid",3.186
"2436","Liver",0.9335
"2437","Pancreas",0.1628
"2438","Prostate",1.144
"2439","Esophagus",1.832
"2440","Skin",0.2779
"2441","Thyroid",7.15
"2442","Esophagus",1.053
"2443","Stomach",3.217
"2444","Small Intestine",44.76
"2445","Colon",2.991
"2446","Pancreas",0.431
"2447","Breast",0.4421
"2448","Prostate",2.562
"2449","Skin",0.2464
"2450","Thyroid",1.559
"2451","Breast",4.153
"2452","Esophagus",1.186
"2453","Pancreas",0.5955
"2454","Uterus",1.628
"2455","Ovary",2.198
"2456","Small Intestine",8.02
"2457","Colon",18.9
"2458","Skin",0.1243
"2459","Brain",0.3854
"2460","Lung",5.551
"2461","Uterus",2.045
"2462","Skin",0.1146
"2463","Breast",1.854
"2464","Thyroid",2.393
"2465","Esophagus",1.824
"2466","Stomach",1.474
"2467","Prostate",3.958
"2468","Skin",0.2851
"2469","Thyroid",4.386
"2470","Lung",14.58
"2471","Pancreas",1.276
"2472","Esophagus",1.509
"2473","Liver",2.195
"2474","Small Intestine",97.99
"2475","Colon",1.18
"2476","Prostate",5.135
"2477","Skin",0.1635
"2478","Brain",1.539
"2479","Esophagus",0.8057
"2480","Thyroid",57.21
"2481","Pancreas",0.7647
"2482","Breast",3.736
"2483","Prostate",3.607
"2484","Colon",1.974
"2485","Brain",1.497
"2486","Thyroid",3.743
"2487","Skin",2.715
"2488","Esophagus",0.7663
"2489","Stomach",1.505
"2490","Uterus",3.279
"2491","Skin",0.196
"2492","Thyroid",1.902
"2493","Esophagus",2.602
"2494","Pancreas",0.4157
"2495","Lung",6.199
"2496","Colon",0.7703
"2497","Skin",0.3482
"2498","Brain",1.456
"2499","Liver",2.306
"2500","Thyroid",2.757
"2501","Prostate",13.19
"2502","Lung",6.455
"2503","Breast",2.809
"2504","Kidney",2.985
"2505","Esophagus",1.811
"2506","Brain",1.211
"2507","Skin",4.141
"2508","Thyroid",4.721
"2509","Lung",5.74
"2510","Esophagus",1.008
"2511","Prostate",1.55
"2512","Stomach",0.3498
"2513","Skin",0.1555
"2514","Brain",0.9185
"2515","Lung",5.34
"2516","Liver",4.014
"2517","Kidney",2.888
"2518","Esophagus",2.762
"2519","Stomach",1.613
"2520","Colon",1.211
"2521","Breast",2.894
"2522","Brain",1.201
"2523","Thyroid",2.187
"2524","Liver",1.061
"2525","Prostate",1.037
"2526","Colon",1.028
"2527","Stomach",1.099
"2528","Esophagus",0.8841
"2529","Skin",0.7423
"2530","Brain",1.656
"2531","Skin",3.674
"2532","Thyroid",3.453
"2533","Liver",2.032
"2534","Lung",38.14
"2535","Esophagus",0.7582
"2536","Kidney",0.6811
"2537","Breast",1.545
"2538","Prostate",2.279
"2539","Brain",1.315
"2540","Skin",1.723
"2541","Thyroid",2.237
"2542","Lung",16.24
"2543","Esophagus",3.409
"2544","Colon",3.219
"2545","Small Intestine",175.8
"2546","Brain",0.2249
"2547","Skin",4.385
"2548","Lung",12.7
"2549","Thyroid",7.36
"2550","Esophagus",0.3954
"2551","Breast",7.024
"2552","Liver",1.623
"2553","Brain",0.8903
"2554","Skin",4.446
"2555","Thyroid",4.782
"2556","Prostate",7.492
"2557","Esophagus",2.37
"2558","Colon",1.582
"2559","Breast",0.4769
"2560","Skin",0.2334
"2561","Brain",0.96
"2562","Liver",1.881
"2563","Thyroid",4.229
"2564","Lung",6.834
"2565","Esophagus",0.6956
"2566","Breast",6.866
"2567","Ovary",1.116
"2568","Skin",0.1483
"2569","Brain",1.627
"2570","Thyroid",3.396
"2571","Lung",8.413
"2572","Esophagus",1.568
"2573","Skin",0.1887
"2574","Brain",1.384
"2575","Lung",7.012
"2576","Thyroid",2.619
"2577","Esophagus",1.163
"2578","Kidney",0.5941
"2579","Ovary",0.9779
"2580","Skin",0.3472
"2581","Brain",2.389
"2582","Thyroid",3.423
"2583","Esophagus",2.863
"2584","Ovary",1.359
"2585","Lung",8.372
"2586","Esophagus",2.158
"2587","Colon",1.375
"2588","Stomach",2.13
"2589","Breast",0.8635
"2590","Skin",1.732
"2591","Skin",0.215
"2592","Pancreas",0.319
"2593","Thyroid",3.211
"2594","Breast",3.925
"2595","Esophagus",1.057
"2596","Stomach",3.68
"2597","Ovary",0.9216
"2598","Colon",0.7292
"2599","Skin",0.1458
"2600","Brain",0.8076
"2601","Lung",9.494
"2602","Prostate",4.02
"2603","Breast",6.36
"2604","Skin",0.4028
"2605","Brain",0.8883
"2606","Thyroid",4.639
"2607","Skin",0.1766
"2608","Lung",9.831
"2609","Ovary",0.6635
"2610","Brain",1.573
"2611","Skin",0.2762
"2612","Brain",1.697
"2613","Thyroid",6.363
"2614","Liver",1.1
"2615","Breast",3.908
"2616","Skin",0.1972
"2617","Brain",0.6694
"2618","Breast",3.057
"2619","Thyroid",5.597
"2620","Lung",11.43
"2621","Colon",57.83
"2622","Skin",0.2552
"2623","Thyroid",1.342
"2624","Esophagus",0.8128
"2625","Stomach",4.092
"2626","Breast",1.636
"2627","Colon",4.828
"2628","Small Intestine",105.7
"2629","Skin",0.2083
"2630","Brain",0.6986
"2631","Lung",15.63
"2632","Colon",2.008
"2633","Skin",0.3404
"2634","Brain",1.001
"2635","Lung",13.26
"2636","Esophagus",0.9228
"2637","Skin",0.6057
"2638","Brain",0.5068
"2639","Ovary",1.044
"2640","Skin",0.2739
"2641","Brain",4.132
"2642","Thyroid",2.937
"2643","Lung",6.783
"2644","Esophagus",1.081
"2645","Ovary",1.64
"2646","Skin",0.3078
"2647","Thyroid",1.346
"2648","Lung",5.312
"2649","Skin",0.0844
"2650","Thyroid",4.727
"2651","Esophagus",3.377
"2652","Stomach",6.838
"2653","Colon",4.272
"2654","Breast",1.321
"2655","Uterus",2.046
"2656","Skin",0.3653
"2657","Brain",1.576
"2658","Prostate",1.958
"2659","Thyroid",3.985
"2660","Lung",15.62
"2661","Liver",1.598
"2662","Kidney",0.5731
"2663","Breast",2.729
"2664","Skin",0.189
"2665","Brain",1.398
"2666","Thyroid",5.57
"2667","Liver",0.856
"2668","Kidney",0.4571
"2669","Prostate",13.78
"2670","Skin",0.2643
"2671","Thyroid",2.983
"2672","Lung",8.939
"2673","Liver",2.903
"2674","Esophagus",4.066
"2675","Breast",5.419
"2676","Pancreas",0.2424
"2677","Colon",1.24
"2678","Ovary",1.727
"2679","Skin",0.1481
"2680","Lung",8.554
"2681","Thyroid",3.461
"2682","Pancreas",0.6839
"2683","Prostate",16.12
"2684","Esophagus",2.033
"2685","Colon",1.032
"2686","Stomach",3.48
"2687","Small Intestine",147.7
"2688","Skin",0.1076
"2689","Lung",5.644
"2690","Small Intestine",15.62
"2691","Esophagus",2.084
"2692","Colon",1.529
"2693","Breast",0.9876
"2694","Skin",0.3136
"2695","Lung",15.68
"2696","Thyroid",3.311
"2697","Pancreas",0.5082
"2698","Esophagus",0.9271
"2699","Kidney",0.356
"2700","Colon",1.42
"2701","Breast",2.032
"2702","Small Intestine",108.1
"2703","Skin",0.2477
"2704","Brain",1.388
"2705","Breast",3.344
"2706","Thyroid",3.512
"2707","Lung",7.936
"2708","Esophagus",2.183
"2709","Uterus",2.067
"2710","Colon",1.493
"2711","Skin",0.3573
"2712","Brain",1.546
"2713","Breast",5.643
"2714","Thyroid",5.186
"2715","Lung",7.177
"2716","Stomach",2.545
"2717","Colon",2.168
"2718","Skin",0.2459
"2719","Brain",6.013
"2720","Breast",6.339
"2721","Thyroid",1.819
"2722","Liver",1.4
"2723","Lung",11.65
"2724","Pancreas",0.6309
"2725","Esophagus",1.012
"2726","Kidney",0.9817
"2727","Ovary",1.357
"2728","Uterus",2.696
"2729","Skin",0.3823
"2730","Brain",0.4048
"2731","Thyroid",2.472
"2732","Skin",0.1432
"2733","Thyroid",1.561
"2734","Lung",7.918
"2735","Pancreas",0.5391
"2736","Uterus",2.362
"2737","Ovary",1.636
"2738","Breast",4.878
"2739","Esophagus",2.31
"2740","Stomach",6.758
"2741","Brain",1.077
"2742","Skin",3.411
"2743","Thyroid",5.559
"2744","Liver",1.708
"2745","Lung",14.31
"2746","Prostate",1.292
"2747","Breast",4.079
"2748","Skin",0.2744
"2749","Brain",1.645
"2750","Thyroid",15.11
"2751","Lung",8.382
"2752","Liver",1.258
"2753","Prostate",13.37
"2754","Esophagus",1.49
"2755","Colon",1.574
"2756","Brain",0.4042
"2757","Skin",2.696
"2758","Breast",1.762
"2759","Skin",1.035
"2760","Thyroid",1.205
"2761","Breast",0.6265
"2762","Esophagus",2.756
"2763","Stomach",1.586
"2764","Lung",7.247
"2765","Prostate",1.817
"2766","Colon",10.69
"2767","Brain",1.538
"2768","Skin",5.233
"2769","Lung",10.97
"2770","Thyroid",3.014
"2771","Esophagus",9.222
"2772","Kidney",0.7177
"2773","Colon",1.925
"2774","Brain",1.196
"2775","Skin",2.201
"2776","Lung",14.54
"2777","Thyroid",3.284
"2778","Esophagus",1.442
"2779","Prostate",3.871
"2780","Breast",3.891
"2781","Thyroid",0.3516
"2782","Breast",4.892
"2783","Lung",8.012
"2784","Skin",2.428
"2785","Pancreas",0.6424
"2786","Uterus",4.343
"2787","Stomach",2.706
"2788","Colon",1.409
"2789","Brain",1.341
"2790","Thyroid",3.192
"2791","Lung",9.653
"2792","Esophagus",1.546
"2793","Liver",1.018
"2794","Prostate",8.623
"2795","Colon",5.952
"2796","Skin",1.516
"2797","Breast",1.788
"2798","Brain",1.649
"2799","Skin",2.144
"2800","Breast",4.589
"2801","Lung",6.31
"2802","Thyroid",3.095
"2803","Esophagus",0.5557
"2804","Ovary",3.474
"2805","Uterus",2.038
"2806","Skin",3.514
"2807","Thyroid",3.251
"2808","Lung",8.617
"2809","Liver",1.419
"2810","Pancreas",1.116
"2811","Breast",2.16
"2812","Esophagus",2.789
"2813","Stomach",6.365
"2814","Small Intestine",142.1
"2815","Colon",6.022
"2816","Brain",1.063
"2817","Skin",2.836
"2818","Lung",14.57
"2819","Thyroid",4.695
"2820","Ovary",1.471
"2821","Uterus",3.581
"2822","Breast",3.724
"2823","Thyroid",5.747
"2824","Esophagus",1.439
"2825","Stomach",0.8696
"2826","Skin",1.884
"2827","Small Intestine",116.7
"2828","Colon",17.28
"2829","Brain",0.9666
"2830","Thyroid",2.475
"2831","Skin",2.591
"2832","Brain",1.637
"2833","Skin",4.246
"2834","Breast",1.136
"2835","Thyroid",4.594
"2836","Lung",6.691
"2837","Esophagus",0.8578
"2838","Pancreas",0.3048
"2839","Stomach",3.401
"2840","Colon",16.5
"2841","Thyroid",2.357
"2842","Skin",1.534
"2843","Prostate",2.195
"2844","Lung",8.133
"2845","Pancreas",0.3705
"2846","Breast",1.769
"2847","Esophagus",1.328
"2848","Stomach",3.687
"2849","Colon",1.216
"2850","Brain",1.387
"2851","Breast",2.974
"2852","Skin",3.273
"2853","Thyroid",95.6
"2854","Lung",32.68
"2855","Esophagus",2.605
"2856","Colon",3.522
"2857","Brain",0.84
"2858","Skin",3.355
"2859","Breast",0.6494
"2860","Lung",10.54
"2861","Esophagus",1.354
"2862","Pancreas",0.3437
"2863","Colon",1.878
"2864","Stomach",4.392
"2865","Brain",0.3524
"2866","Skin",1.578
"2867","Thyroid",6.598
"2868","Lung",9.811
"2869","Esophagus",3.636
"2870","Ovary",1.482
"2871","Brain",2.168
"2872","Skin",3.303
"2873","Esophagus",15.74
"2874","Kidney",1.113
"2875","Stomach",2.198
"2876","Colon",4.647
"2877","Prostate",15.54
"2878","Brain",1.469
"2879","Lung",3.806
"2880","Skin",1.434
"2881","Brain",1.517
"2882","Skin",2.33
"2883","Thyroid",2.342
"2884","Esophagus",4.078
"2885","Colon",1.326
"2886","Skin",3.005
"2887","Breast",0.7132
"2888","Lung",7.124
"2889","Kidney",0.7965
"2890","Esophagus",8.69
"2891","Stomach",3.265
"2892","Colon",2.829
"2893","Prostate",3.163
"2894","Brain",1.289
"2895","Skin",1.99
"2896","Breast",6.77
"2897","Brain",1.988
"2898","Skin",1.727
"2899","Liver",3.887
"2900","Lung",10.93
"2901","Thyroid",2.833
"2902","Esophagus",1.279
"2903","Kidney",4.786
"2904","Colon",2.426
"2905","Brain",1.245
"2906","Skin",6.631
"2907","Thyroid",2.799
"2908","Esophagus",1.632
"2909","Lung",12.07
"2910","Colon",1.492
"2911","Liver",1.509
"2912","Ovary",2.272
"2913","Uterus",3.42
"2914","Brain",2.083
"2915","Prostate",1.971
"2916","Esophagus",2.299
"2917","Stomach",2.923
"2918","Thyroid",13.02
"2919","Liver",4.331
"2920","Skin",2.248
"2921","Kidney",3.16
"2922","Colon",5.653
"2923","Brain",0.398
"2924","Breast",2.345
"2925","Skin",1.959
"2926","Lung",13.19
"2927","Thyroid",2.318
"2928","Esophagus",1.519
"2929","Colon",2.62
"2930","Skin",0.9277
"2931","Thyroid",2.003
"2932","Esophagus",1.656
"2933","Stomach",2.366
"2934","Colon",1.937
"2935","Prostate",1.797
"2936","Breast",9.118
"2937","Breast",3.03
"2938","Thyroid",5.132
"2939","Skin",1.959
"2940","Esophagus",5.638
"2941","Brain",0.7879
"2942","Skin",2.021
"2943","Esophagus",1.444
"2944","Colon",2.507
"2945","Skin",1.568
"2946","Thyroid",3.018
"2947","Lung",15.02
"2948","Breast",0.7588
"2949","Liver",0.8251
"2950","Kidney",0.489
"2951","Esophagus",7.272
"2952","Colon",5.337
"2953","Breast",1.516
"2954","Skin",2.093
"2955","Stomach",9.124
"2956","Esophagus",0.844
"2957","Thyroid",30.7
"2958","Breast",0.7441
"2959","Skin",2.324
"2960","Esophagus",0.9602
"2961","Colon",14.02
"2962","Thyroid",4.082
"2963","Lung",11.66
"2964","Breast",3.661
"2965","Skin",4.089
"2966","Esophagus",1.518
"2967","Uterus",2.098
"2968","Ovary",1.773
"2969","Stomach",1.311
"2970","Colon",1.934
"2971","Brain",1.908
"2972","Skin",7.211
"2973","Lung",13.13
"2974","Thyroid",5.082
"2975","Esophagus",2.292
"2976","Liver",1.35
"2977","Colon",8.053
"2978","Breast",3.035
"2979","Brain",1.615
"2980","Skin",3.163
"2981","Lung",14.09
"2982","Esophagus",1.385
"2983","Thyroid",5.53
"2984","Prostate",4.237
"2985","Breast",2.533
"2986","Thyroid",2.143
"2987","Esophagus",3.327
"2988","Stomach",2.728
"2989","Colon",0.8837
"2990","Skin",2.51
"2991","Brain",0.9243
"2992","Skin",0.9549
"2993","Thyroid",8.185
"2994","Esophagus",1.343
"2995","Skin",3.856
"2996","Thyroid",2.936
"2997","Pancreas",1.049
"2998","Esophagus",2.427
"2999","Stomach",2.269
"3000","Prostate",4.819
"3001","Breast",1.84
"3002","Colon",1.121
"3003","Brain",1.074
"3004","Skin",3.632
"3005","Thyroid",6.708
"3006","Breast",2.205
"3007","Brain",0.5876
"3008","Thyroid",5.07
"3009","Skin",0.9391
"3010","Stomach",1.619
"3011","Breast",1.571
"3012","Skin",1.61
"3013","Thyroid",3.025
"3014","Esophagus",1.022
"3015","Stomach",2.445
"3016","Colon",2.966
"3017","Breast",1.104
"3018","Skin",1.03
"3019","Thyroid",2.538
"3020","Pancreas",0.4105
"3021","Breast",5.963
"3022","Esophagus",35.56
"3023","Colon",1.439
"3024","Uterus",1.752
"3025","Ovary",1.45
"3026","Brain",1.176
"3027","Skin",3.118
"3028","Thyroid",3.983
"3029","Lung",13.44
"3030","Prostate",3.31
"3031","Breast",2.833
"3032","Colon",1.58
"3033","Esophagus",1.414
"3034","Brain",0.5434
"3035","Skin",2.914
"3036","Thyroid",4.711
"3037","Breast",2.763
"3038","Lung",18.09
"3039","Esophagus",0.6962
"3040","Pancreas",0.5424
"3041","Prostate",2.457
"3042","Colon",1.683
"3043","Skin",3.528
"3044","Lung",6.344
"3045","Esophagus",1.003
"3046","Colon",1.355
"3047","Thyroid",3.189
"3048","Lung",9.857
"3049","Skin",3.338
"3050","Prostate",2.141
"3051","Esophagus",1.684
"3052","Small Intestine",148.8
"3053","Stomach",2.526
"3054","Colon",2.275
"3055","Brain",0.9154
"3056","Skin",2.572
"3057","Liver",3.956
"3058","Lung",11.11
"3059","Thyroid",6.433
"3060","Esophagus",2.462
"3061","Breast",2.681
"3062","Stomach",1.676
"3063","Brain",1.082
"3064","Skin",6.382
"3065","Thyroid",5.784
"3066","Breast",3.263
"3067","Brain",2.421
"3068","Skin",2.254
"3069","Thyroid",3.851
"3070","Lung",15.29
"3071","Prostate",22.93
"3072","Breast",1.085
"3073","Brain",0.9837
"3074","Skin",2.925
"3075","Lung",34.01
"3076","Esophagus",0.426
"3077","Colon",0.8289
"3078","Skin",0.1939
"3079","Thyroid",3.422
"3080","Breast",1.68
"3081","Lung",20.8
"3082","Esophagus",8.395
"3083","Kidney",0.7837
"3084","Prostate",2.473
"3085","Colon",1.35
"3086","Brain",2.423
"3087","Skin",4.119
"3088","Thyroid",16.01
"3089","Lung",28.76
"3090","Esophagus",1.684
"3091","Pancreas",0.4351
"3092","Brain",2.649
"3093","Skin",3.607
"3094","Lung",15.95
"3095","Thyroid",7.205
"3096","Esophagus",1.064
"3097","Liver",1.942
"3098","Colon",2.067
"3099","Brain",2.531
"3100","Skin",6.244
"3101","Thyroid",4.044
"3102","Lung",12.63
"3103","Esophagus",4.283
"3104","Skin",1.6
"3105","Thyroid",1.85
"3106","Pancreas",0.4042
"3107","Breast",1.763
"3108","Esophagus",1.362
"3109","Stomach",3.156
"3110","Small Intestine",3.506
"3111","Colon",7.841
"3112","Skin",0.3402
"3113","Pancreas",0.7045
"3114","Lung",7.655
"3115","Thyroid",1.238
"3116","Breast",0.3924
"3117","Prostate",1.276
"3118","Esophagus",1.098
"3119","Brain",1.215
"3120","Skin",1.285
"3121","Thyroid",6.258
"3122","Lung",23.67
"3123","Prostate",1.996
"3124","Esophagus",1.618
"3125","Breast",5.67
"3126","Brain",1.458
"3127","Skin",5.697
"3128","Liver",2.05
"3129","Stomach",1.556
"3130","Breast",4.258
"3131","Skin",7.375
"3132","Lung",8.951
"3133","Esophagus",7.762
"3134","Stomach",3.121
"3135","Pancreas",0.3579
"3136","Colon",10.31
"3137","Uterus",0.7425
"3138","Ovary",1.082
"3139","Breast",3.196
"3140","Skin",2.661
"3141","Thyroid",92.56
"3142","Breast",3.382
"3143","Lung",11.78
"3144","Esophagus",1.639
"3145","Colon",17.27
"3146","Prostate",10.19
"3147","Breast",3.967
"3148","Thyroid",2.907
"3149","Lung",12.2
"3150","Esophagus",5.622
"3151","Stomach",2.895
"3152","Skin",6.506
"3153","Prostate",2.243
"3154","Thyroid",3.229
"3155","Liver",1.201
"3156","Skin",1.965
"3157","Breast",0.6095
"3158","Uterus",3.548
"3159","Ovary",2.159
"3160","Stomach",2.061
"3161","Esophagus",4.826
"3162","Colon",1.606
"3163","Skin",1.935
"3164","Thyroid",2.783
"3165","Lung",0.6808
"3166","Liver",1.096
"3167","Breast",1.162
"3168","Esophagus",1.172
"3169","Brain",1.675
"3170","Skin",1.962
"3171","Breast",2.711
"3172","Thyroid",4.627
"3173","Lung",6.054
"3174","Esophagus",2.786
"3175","Colon",1.87
"3176","Prostate",4.921
"3177","Skin",2.802
"3178","Breast",1.975
"3179","Esophagus",0.1198
"3180","Brain",0.3979
"3181","Pancreas",0.7161
"3182","Esophagus",1.003
"3183","Thyroid",2.308
"3184","Colon",2.815
"3185","Skin",2.608
"3186","Pancreas",0.559
"3187","Esophagus",2.943
"3188","Prostate",3.709
"3189","Colon",3.853
"3190","Skin",4.674
"3191","Stomach",2.181
"3192","Breast",4.144
"3193","Ovary",1.269
"3194","Skin",2.933
"3195","Esophagus",1.16
"3196","Skin",2.771
"3197","Esophagus",2.29
"3198","Stomach",1.671
"3199","Colon",1.95
"3200","Prostate",7.57
"3201","Breast",1.282
"3202","Brain",1.876
"3203","Skin",1.993
"3204","Lung",16.12
"3205","Thyroid",5.181
"3206","Esophagus",1.234
"3207","Breast",1.397
"3208","Prostate",17.83
"3209","Colon",1.374
"3210","Skin",6.719
"3211","Lung",7.062
"3212","Uterus",0.9762
"3213","Colon",2.014
"3214","Lung",7.264
"3215","Pancreas",0.3846
"3216","Ovary",2.461
"3217","Esophagus",1.534
"3218","Stomach",3.688
"3219","Thyroid",3.519
"3220","Skin",2.536
"3221","Breast",2.303
"3222","Colon",1.588
"3223","Skin",1.591
"3224","Skin",3.324
"3225","Breast",4.875
"3226","Thyroid",1.332
"3227","Brain",3.471
"3228","Skin",2.191
"3229","Thyroid",3.545
"3230","Breast",0.8552
"3231","Colon",9.456
"3232","Brain",2.867
"3233","Skin",1.729
"3234","Lung",12.34
"3235","Thyroid",4.241
"3236","Esophagus",0.6806
"3237","Liver",2.288
"3238","Breast",3.342
"3239","Brain",1.523
"3240","Liver",3.042
"3241","Skin",1.642
"3242","Kidney",1.028
"3243","Esophagus",4.53
"3244","Lung",9.584
"3245","Colon",5.993
"3246","Thyroid",2.691
"3247","Breast",3.472
"3248","Skin",1.101
"3249","Esophagus",1.444
"3250","Small Intestine",124.5
"3251","Colon",2.683
"3252","Ovary",5.078
"3253","Uterus",2.435
"3254","Brain",2.199
"3255","Skin",3.44
"3256","Thyroid",5.967
"3257","Esophagus",0.6657
"3258","Breast",8.891
"3259","Brain",3.016
"3260","Skin",3.11
"3261","Thyroid",4.509
"3262","Lung",9.901
"3263","Pancreas",0.6504
"3264","Colon",1.996
"3265","Prostate",6.203
"3266","Brain",0.378
"3267","Skin",3.38
"3268","Thyroid",4.544
"3269","Lung",12.86
"3270","Kidney",11.06
"3271","Stomach",1.629
"3272","Brain",0.8044
"3273","Skin",2.743
"3274","Thyroid",6.779
"3275","Lung",26.3
"3276","Breast",2.952
"3277","Colon",5.869
"3278","Brain",2.951
"3279","Skin",6.291
"3280","Thyroid",6.739
"3281","Lung",43.71
"3282","Esophagus",3.371
"3283","Breast",3.341
"3284","Brain",1.396
"3285","Skin",1.026
"3286","Thyroid",4.186
"3287","Lung",10.83
"3288","Kidney",2.3
"3289","Ovary",2.064
"3290","Uterus",1.981
"3291","Esophagus",0.7263
"3292","Colon",13.59
"3293","Thyroid",3.995
"3294","Lung",7.695
"3295","Esophagus",2.939
"3296","Colon",6.763
"3297","Skin",2.442
"3298","Brain",1.813
"3299","Skin",2.901
"3300","Lung",13.52
"3301","Thyroid",7.932
"3302","Esophagus",1.781
"3303","Liver",1.782
"3304","Pancreas",0.6037
"3305","Stomach",1.417
"3306","Colon",1.938
"3307","Breast",4.16
"3308","Brain",0.2497
"3309","Skin",5.476
